ID,유형,제목(원문),설명(원문),URL,게시일,수정일,진행방식,개방성,모집방식,복잡성수준,양극화수준,방법유형1,방법유형2,방법유형3,상호작용1,상호작용2,상호작용3,목적1,목적2,목적3,제목(한국어-자동),설명(한국어-자동),요약(1문장-자동),워크북_추천사용상황,진행자_한줄팁,태그(필터용)
157,method,Participatory Consensus Conferences,"The model of participatory consensus conference often known as “the Danish model” and/or “citizens’ panel,” is a way to deliberate on policy issues with high technical content using a combination of lay citizens and experts.",https://participedia.net/method/157,2010-05-21,2022-07-15,,,,,,,,,,,,,,,참여형 합의 회의,"흔히 ""덴마크 모델"" 또는 ""시민 패널""로 알려진 참여형 합의 회의 모델은 일반 시민과 전문가를 결합하여 전문적인 내용이 많은 정책 문제를 논의하는 방식입니다.","흔히 ""덴마크 모델"" 또는 ""시민 패널""로 알려진 참여형 합의 회의 모델은 일반 시민과 전문가를 결합하여 전문적인 내용이 많은 정책 문제를 논의…",프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
159,method,New England or 'Open' Town Meetings,"New England or 'Open' Town Meetings are public forums that promote participation in local governance, enabling residents to share their opinions on public issues while engaging in deliberation and democratic decision-making processes regarding laws and budgets.",https://participedia.net/method/159,2010-05-21,2020-09-17,facetoface,open,,,moderate,deliberative, longterm, community,discussion, ask, express,make, develop,,뉴잉글랜드식 또는 '개방형' 타운 미팅,"뉴잉글랜드식 또는 '개방형' 타운 미팅은 지역 거버넌스 참여를 장려하는 공개 포럼으로, 주민들이 공공 문제에 대한 의견을 공유하고 법률 및 예산과 관련된 숙의 및 민주적 의사 결정 과정에 참여할 수 있도록 합니다.","뉴잉글랜드식 또는 '개방형' 타운 미팅은 지역 거버넌스 참여를 장려하는 공개 포럼으로, 주민들이 공공 문제에 대한 의견을 공유하고 법률 및 예산…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | longterm | community | discussion | ask | express | make | develop
160,method,Planning Cells,"Planning cells are a deliberative method where randomly-selected, diverse participants collaborate on developing solutions to a given issue and report the resulting recommendations to the relevant decision-makers.",https://participedia.net/method/160,2010-06-02,2020-06-27,facetoface,limited,random,,low,planning, deliberative, collaborative,discussion, ask, listenwatch,make, develop, make_influence,계획 셀,"기획 셀은 무작위로 선정된 다양한 참가자들이 특정 문제에 대한 해결책을 개발하기 위해 협력하고, 그 결과를 관련 의사 결정권자에게 보고하는 숙의 방식입니다.","기획 셀은 무작위로 선정된 다양한 참가자들이 특정 문제에 대한 해결책을 개발하기 위해 협력하고, 그 결과를 관련 의사 결정권자에게 보고하는 숙의…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,planning | deliberative | collaborative | discussion | ask | listenwatch | make | develop | make_influence
161,method,Asset-Based Community Development,Asset-Based Community Development is a communication methodology for sustainable community-driven development that focuses on identifying and utilizing the individual strengths and existing assets of citizens in the community.,https://participedia.net/method/161,2010-05-31,2021-02-19,facetoface,open_to,,moderate,moderate,community, planning, research,discussion, storytelling,,develop, deliver,,자산 기반 커뮤니티 개발,자산 기반 지역사회 개발은 지역사회 구성원 개개인의 강점과 기존 자산을 파악하고 활용하는 데 중점을 둔 지속 가능한 지역사회 주도 개발을 위한 소통 방법론입니다.,자산 기반 지역사회 개발은 지역사회 구성원 개개인의 강점과 기존 자산을 파악하고 활용하는 데 중점을 둔 지속 가능한 지역사회 주도 개발을 위한 …,대화·경험학습·관계형 프로그램(자유스콜레),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,community | planning | research | discussion | storytelling | develop | deliver
162,method,Public Hearing,"Also known as public inquiries, public hearings are typically organized as a way to gather public opinions and concerns on political issues before a legislature, agency, or organization makes a decision or takes action.",https://participedia.net/method/162,2010-06-02,2019-10-29,both,open,,moderate,moderate,public_meetings,,,formal, ask,,make,,,공개 청문회,"공청회라고도 불리는 공개 조사는 일반적으로 입법부, 기관 또는 단체가 결정을 내리거나 조치를 취하기 전에 정치적 문제에 대한 대중의 의견과 우려를 수렴하기 위해 조직됩니다.","공청회라고도 불리는 공개 조사는 일반적으로 입법부, 기관 또는 단체가 결정을 내리거나 조치를 취하기 전에 정치적 문제에 대한 대중의 의견과 우려…",정책/의제 숙의·공론장(민주주의 피트니스),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),public_meetings | formal | ask | make
163,method,Consensus Conference,"Consensus conferences are meetings designed to inform the public and present participants the opportunity to actively engage in learning and expressing their opinions, aiming to find common ground regarding contentious issues.",https://participedia.net/method/163,2010-06-03,2020-03-23,facetoface,limited,random,moderate,moderate,deliberative, collaborative, experiential,discussion, ask, listenwatch,develop, make,,합의 회의,합의 회의는 대중에게 정보를 제공하고 참가자들이 적극적으로 학습하고 의견을 표현할 기회를 제공하여 논쟁적인 문제에 대한 공통점을 찾는 것을 목표로 하는 회의입니다.,합의 회의는 대중에게 정보를 제공하고 참가자들이 적극적으로 학습하고 의견을 표현할 기회를 제공하여 논쟁적인 문제에 대한 공통점을 찾는 것을 목표…,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | collaborative | experiential | discussion | ask | listenwatch | develop | make
164,method,Initiative Process,The initiative process is a form of direct democracy where citizens can propose legislation which is then put to popular referendum. There are two types of initiative: direct (citizens'/popular) and indirect (agenda/agenda-setting). ,https://participedia.net/method/164,2010-06-02,2020-03-27,both,open,,low,low,direct,,,express,,,make,,,이니셔티브 프로세스,주민발의제도는 시민들이 법안을 제안하고 이를 국민투표에 부치는 직접민주주의의 한 형태입니다. 주민발의에는 직접발의(시민발의/국민발의)와 간접발의(의제 설정발의) 두 가지 유형이 있습니다.,주민발의제도는 시민들이 법안을 제안하고 이를 국민투표에 부치는 직접민주주의의 한 형태입니다. 주민발의에는 직접발의(시민발의/국민발의)와 간접발의…,프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),direct | express | make
167,method,The World Café ,"The World Café is a method for hosting conversations regarding relevant societal issues, with the ideal scenario being multiple conversations that build on each other so that the issue is considered in-depth.",https://participedia.net/method/167,2010-06-03,2021-03-17,facetoface,limited,,moderate,polarized,informal,,,informal, storytelling,,,,,월드 카페,"월드 카페는 사회적으로 중요한 문제에 대한 대화를 촉진하는 방법으로, 이상적인 시나리오는 여러 차례의 대화가 서로 이어져 해당 문제를 심층적으로 고찰하는 것입니다.","월드 카페는 사회적으로 중요한 문제에 대한 대화를 촉진하는 방법으로, 이상적인 시나리오는 여러 차례의 대화가 서로 이어져 해당 문제를 심층적으로…",대화·경험학습·관계형 프로그램(자유스콜레),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),informal | informal | storytelling
168,method,National Issues Forum,The United States' National Issues Forum (NIF) is a nationwide network of locally created public forums oriented towards the deliberation of public and political issues. ,https://participedia.net/method/168,2010-06-04,2022-07-15,,,,,,,,,,,,,,,국가 현안 포럼,미국의 국가 이슈 포럼(NIF)은 공공 및 정치적 이슈에 대한 숙의를 목적으로 지역에서 만들어진 공개 포럼들의 전국적인 네트워크입니다.,미국의 국가 이슈 포럼(NIF)은 공공 및 정치적 이슈에 대한 숙의를 목적으로 지역에서 만들어진 공개 포럼들의 전국적인 네트워크입니다.,프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
169,method,Parliamentary Procedure,"Parliamentary procedure is the set of rules and bylaws adopted by various groups, ranging from the United States House of Representatives to high school Model United Nations clubs, which attempt to ensure civil deliberation among the participating members.",https://participedia.net/method/169,2010-06-04,2020-07-21,facetoface,limited,election,,moderate,deliberative, experiential,,discussion, formal, negotiation,develop,,,의회 절차,"의회 절차란 미국 하원에서부터 고등학교 모의 유엔 동아리에 이르기까지 다양한 단체들이 채택한 규칙과 규정의 집합체로, 참여 구성원들 간의 건설적인 숙의를 보장하기 위한 것입니다.","의회 절차란 미국 하원에서부터 고등학교 모의 유엔 동아리에 이르기까지 다양한 단체들이 채택한 규칙과 규정의 집합체로, 참여 구성원들 간의 건설적…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | experiential | discussion | formal | negotiation | develop
170,method,Citizen Advisory Board,Citizen Advisory Boards are a local government entity which consists of volunteer citizens from the community they represent. Citizen Advisory Boards add to the deliberative quality of a democracy by involving everyday citizens in political processes that help shape policies.,https://participedia.net/method/170,2010-06-04,2020-06-28,facetoface,limited,election,high,polarized,longterm, collaborative, evaluation,discussion, formal, ask,develop, make,,시민 자문 위원회,시민자문위원회는 해당 지역 사회의 자원 봉사 시민들로 구성된 지방 정부 기구입니다. 시민자문위원회는 일반 시민들을 정책 형성 과정에 참여시킴으로써 민주주의의 숙의성을 강화합니다.,시민자문위원회는 해당 지역 사회의 자원 봉사 시민들로 구성된 지방 정부 기구입니다. 시민자문위원회는 일반 시민들을 정책 형성 과정에 참여시킴으로…,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,longterm | collaborative | evaluation | discussion | formal | ask | develop | make
172,method,We the People: The Citizen and the Constitution,"We the People is an educational process which aims to enable students to learn about and address a range of governance-related issues, culminating in competitions to present at simulated congressional hearings. ",https://participedia.net/method/172,2010-06-04,2020-07-09,facetoface,limited,,high,polarized,experiential, deliberative,,discussion, ask, express,develop,,,우리 국민: 시민과 헌법,"'위 더 피플(We the People)'은 학생들이 다양한 통치 관련 문제에 대해 배우고 해결책을 모색할 수 있도록 돕는 교육 과정으로, 모의 의회 청문회에서 발표하는 경연 대회로 마무리됩니다.","'위 더 피플(We the People)'은 학생들이 다양한 통치 관련 문제에 대해 배우고 해결책을 모색할 수 있도록 돕는 교육 과정으로, 모의…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,experiential | deliberative | discussion | ask | express | develop
173,method,End to End Auditable Voting Systems,"End to End (E2E) Auditable Voting is a method allowing voters to trace their ballot through the process to ensure it is counted correctly, and allows anyone to verify that ballots were counted accurately without compromising anonymity.  ",https://participedia.net/method/173,2010-08-27,2019-05-02,,,,,,,,,,,,,,,종단 간 감사 가능한 투표 시스템,"전 과정 감사 가능 투표(E2E Auditable Voting)는 유권자가 자신의 투표용지가 투표 과정을 거쳐 정확하게 집계되었는지 추적할 수 있도록 하는 방식이며, 익명성을 침해하지 않고 누구나 투표 집계의 정확성을 검증할 수 있도록 합니다.",전 과정 감사 가능 투표(E2E Auditable Voting)는 유권자가 자신의 투표용지가 투표 과정을 거쳐 정확하게 집계되었는지 추적할 수 …,프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
174,method,World Social Forum,"The World Social Forum is an open process developed in opposition to the closed, elitist meetings of state-leaders and capitalists such as Davos. The Forum structure is open, allowing for the participation of all affected parties on issues of international importance. ",https://participedia.net/method/174,2010-06-28,2021-05-04,both,open,,,low,collaborative, deliberative, informal_participation,discussion, informal,,develop, make_influence, make,세계사회포럼,"세계사회포럼은 다보스 포럼과 같은 국가 지도자 및 자본가들의 폐쇄적이고 엘리트주의적인 회의에 반대하여 개발된 개방적인 프로세스입니다. 포럼의 구조는 개방적이며, 국제적으로 중요한 문제에 대해 모든 이해 관계자들이 참여할 수 있도록 합니다.",세계사회포럼은 다보스 포럼과 같은 국가 지도자 및 자본가들의 폐쇄적이고 엘리트주의적인 회의에 반대하여 개발된 개방적인 프로세스입니다. 포럼의 구…,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,collaborative | deliberative | informal_participation | discussion | informal | develop | make_influence | make
177,method,Delegated Voting,,https://participedia.net/method/177,2010-09-29,2022-07-15,,,,,,,,,,,,,,,대의 투표,,,프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
179,method,Pop-up,"Technically speaking, the 'pop-up' technique can be used to implement any kind of project where temporality and spontaneity are deemed advantageous. The practice is widespread in retail and restaurant industries but is applicable to any participatory event or initiative. ",https://participedia.net/method/179,2010-12-03,2020-06-13,facetoface,open,not,moderate,,informal, experiential, community,informal, storytelling, teachinginstructing,develop, deliver,,팝업,"엄밀히 말하면, '팝업' 기법은 일시성과 즉흥성이 유리하게 작용하는 모든 종류의 프로젝트에 적용될 수 있습니다. 이 방식은 소매업이나 외식업계에서 널리 사용되지만, 참여형 행사나 기획이라면 무엇이든 가능합니다.","엄밀히 말하면, '팝업' 기법은 일시성과 즉흥성이 유리하게 작용하는 모든 종류의 프로젝트에 적용될 수 있습니다. 이 방식은 소매업이나 외식업계에…",대화·경험학습·관계형 프로그램(자유스콜레),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),informal | experiential | community | informal | storytelling | teachinginstructing | develop | deliver
180,method,Cabildo Abierto,"Cabildo Abierto translates as ""Open Town Council."" It is a form of deliberative meeting that has used in South and Central America beginning in the 16th Century. ",https://participedia.net/method/180,2010-12-01,2022-07-15,,,,,,,,,,,,,,,오픈 카운슬,"카빌도 아비에르토(Cabildo Abierto)는 ""공개 시의회""라는 뜻입니다. 이는 16세기부터 남미와 중미에서 사용되어 온 숙의 회의의 한 형태입니다.","카빌도 아비에르토(Cabildo Abierto)는 ""공개 시의회""라는 뜻입니다. 이는 16세기부터 남미와 중미에서 사용되어 온 숙의 회의의 한 …",프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
181,method,Socratic Cafés,"The Socratic Café (also known as Socrates Café) is a democratic discussion forum based on the more commonly known Socratic Method, which focuses its intentions on being an open system that allows for philosophical questioning.",https://participedia.net/method/181,2010-12-06,2020-01-25,facetoface,open,,moderate,moderate,experiential,,,ask, discussion,,develop,,,소크라테스식 카페,"소크라테스 카페(또는 소크라테스식 토론)는 소크라테스식 문답법을 기반으로 하는 민주적인 토론 포럼으로, 철학적 질문을 자유롭게 할 수 있는 열린 시스템을 지향합니다.","소크라테스 카페(또는 소크라테스식 토론)는 소크라테스식 문답법을 기반으로 하는 민주적인 토론 포럼으로, 철학적 질문을 자유롭게 할 수 있는 열린…",대화·경험학습·관계형 프로그램(자유스콜레),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,experiential | ask | discussion | develop
182,method,Deliberation Day,,https://participedia.net/method/182,2010-12-07,2022-07-15,,,,,,,,,,,,,,,심의일,,,프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
183,method,Crowdsourcing,"Crowdsourcing is a phenomenon in which an organization calls upon both professionals and amateurs to help solve a problem, design a product, or analyze large amounts of data at a lower cost and often greater quality and speed than through conventional research.",https://participedia.net/method/183,2010-12-07,2020-03-15,online,open,,high,moderate,collaborative, research, planning,discussion, express,,academic, deliver, make,크라우드소싱,"크라우드소싱은 조직이 전문가와 아마추어 모두에게 도움을 요청하여 문제를 해결하거나 제품을 설계하거나 대량의 데이터를 분석하는 현상으로, 기존 연구 방식보다 비용을 절감하고 품질과 속도를 향상시키는 경우가 많습니다.","크라우드소싱은 조직이 전문가와 아마추어 모두에게 도움을 요청하여 문제를 해결하거나 제품을 설계하거나 대량의 데이터를 분석하는 현상으로, 기존 연…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,collaborative | research | planning | discussion | express | academic | deliver | make
184,method,Conversation Cafés,"Conversation Cafés are openly hosted conversations designed to engage participants in stimulating dialogue on relevant societal issues, thereby allowing them to express and develop informed opinions in a mutually respectful way.",https://participedia.net/method/184,2010-12-07,2025-05-27,facetoface,open,,moderate,polarized,informal, deliberative, participantled,informal, storytelling, discussion,develop,,,대화 카페,"대화 카페는 사회적으로 중요한 문제에 대해 참여자들이 활발한 대화를 나눌 수 있도록 마련된 공개적인 모임으로, 이를 통해 참여자들은 서로를 존중하는 분위기 속에서 정보에 기반한 의견을 표현하고 발전시킬 수 있습니다.","대화 카페는 사회적으로 중요한 문제에 대해 참여자들이 활발한 대화를 나눌 수 있도록 마련된 공개적인 모임으로, 이를 통해 참여자들은 서로를 존중…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,informal | deliberative | participantled | informal | storytelling | discussion | develop
185,method,Robert's Rules of Order,"Robert's Rules of Order combine majority rule and respect for minority opinion as a means of facilitating inclusive and efficient deliberative processes. In order to do so, the tool’s rules ensure equal speaking opportunities from all sides.",https://participedia.net/method/185,2010-06-08,2020-07-21,facetoface,both,,,moderate,deliberative, experiential,,discussion, negotiation, ask,develop, make_influence, make,로버트 의사규칙,로버트 의사규칙은 다수결 원칙과 소수 의견 존중을 결합하여 포용적이고 효율적인 심의 과정을 촉진하는 도구입니다. 이를 위해 로버트 의사규칙은 모든 참여자에게 동등한 발언 기회를 보장합니다.,로버트 의사규칙은 다수결 원칙과 소수 의견 존중을 결합하여 포용적이고 효율적인 심의 과정을 촉진하는 도구입니다. 이를 위해 로버트 의사규칙은 모…,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | experiential | discussion | negotiation | ask | develop | make_influence | make
186,method,Washington State Initiative Process,Washington State uses the initiative process which gives direct power to the voters to enact new laws or change existing ones effectively allowing the electorate to place legislation on the ballot so long as they meet certain criteria.,https://participedia.net/method/186,2010-12-07,2018-09-08,,,,,moderate_polarization,,,,,,,,,,워싱턴주 주민발의 절차,"워싱턴주는 유권자에게 새로운 법률을 제정하거나 기존 법률을 변경할 수 있는 직접적인 권한을 부여하는 발의 제도를 사용합니다. 즉, 유권자가 특정 기준을 충족하는 한 법안을 투표에 부칠 수 있도록 하는 것입니다.","워싱턴주는 유권자에게 새로운 법률을 제정하거나 기존 법률을 변경할 수 있는 직접적인 권한을 부여하는 발의 제도를 사용합니다. 즉, 유권자가 특정…",프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
187,method,Kgotla (Botswana Public Assembly),"Kgotla meetings were large tribal assemblies that were used by Tswana chiefs in Botswana to discuss important issues, policies and legislation with their subjects. ",https://participedia.net/method/187,2010-12-07,2022-07-15,,,,,,,,,,,,,,,보츠와나 공공 총회,"크고틀라 회의는 보츠와나의 츠와나 부족장들이 부족민들과 중요한 문제, 정책 및 법률에 대해 논의하기 위해 사용했던 대규모 부족 회의였습니다.","크고틀라 회의는 보츠와나의 츠와나 부족장들이 부족민들과 중요한 문제, 정책 및 법률에 대해 논의하기 위해 사용했던 대규모 부족 회의였습니다.",프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
